Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PIG-3435,12664924,,Custom Partitioner not working with MultiQueryOptimizer,knoguchi,knoguchi,Major,Closed,Fixed,21/Aug/13 21:53,14/Oct/13 16:46,
New Feature,Patch Available,PIG-3086,12623084,,Allow A Prefix To Be Added To URIs In PigUnit Tests ,njw45,njw45,Major,Closed,Fixed,10/Dec/12 01:39,14/Oct/13 16:46,
Bug,,PIG-3066,12617260,,Fix TestPigRunner in trunk,cheolsoo,cheolsoo,Major,Closed,Fixed,22/Nov/12 02:37,14/Oct/13 16:46,
Bug,,PIG-3071,12618114,,update hcatalog jar and path to hbase storage handler jar in pig script,arpitgupta,arpitgupta,Major,Closed,Fixed,29/Nov/12 04:23,14/Oct/13 16:46,
Bug,,PIG-3393,12659611,,STARTSWITH udf doesn't override outputSchema method,skrishnan,cheolsoo,Major,Closed,Fixed,24/Jul/13 16:22,14/Oct/13 16:46,
Bug,,PIG-2941,12610217,,Ivy resolvers in pig don't have consistent chaining and don't have a kitchen sink option for novices,jgordon,jgordon,Major,Closed,Fixed,04/Oct/12 10:34,14/Oct/13 16:46,
Improvement,,PIG-2764,12595377,,Add a biginteger and bigdecimal type to pig,jcoveney,jcoveney,Major,Closed,Fixed,21/Jun/12 03:15,14/Oct/13 16:46,
Bug,Patch Available,PIG-2470,12538168,,Issue with CSVEXcelStorage piggy bank function,jpacker,pkarkele,Major,Closed,Fixed,12/Jan/12 09:17,14/Oct/13 16:46,
Improvement,,PIG-3503,12672437,,More document for Pig 0.12 new features,daijy,daijy,Major,Closed,Fixed,05/Oct/13 00:17,14/Oct/13 16:46,
Bug,,PIG-3292,12644306,,Logical plan invalid state: duplicate uid in schema during self-join to get cross product,cheolsoo,serega_sheypak,Major,Closed,Fixed,24/Apr/13 08:06,14/Oct/13 16:46,
Sub-task,,PIG-2956,12610793,12597859,Invalid cache specification for some streaming statement,daijy,daijy,Major,Closed,Fixed,08/Oct/12 06:52,14/Oct/13 16:46,
Bug,,PIG-3374,12656408,,CASE and IN fail when expression includes dereferencing operator,cheolsoo,cheolsoo,Major,Closed,Fixed,05/Jul/13 19:27,14/Oct/13 16:46,
Sub-task,,PIG-2955,12610792,12597859, Fix bunch of Pig e2e tests on Windows ,daijy,daijy,Major,Closed,Fixed,08/Oct/12 06:49,14/Oct/13 16:46,
Improvement,,PIG-3342,12650526,,Allow conditions in case statement,cheolsoo,cheolsoo,Major,Closed,Fixed,02/Jun/13 18:53,14/Oct/13 16:46,
Bug,Patch Available,PIG-3085,12623042,,"Errors and lacks in document ""Built In Functions""",miyakawataku,miyakawataku,Major,Closed,Fixed,09/Dec/12 09:55,14/Oct/13 16:46,
Improvement,,PIG-3339,12649941,,Move pattern compilation in ToDate as a static variable,rohini,rohini,Major,Closed,Fixed,29/May/13 14:44,14/Oct/13 16:46,
Bug,,PIG-3487,12670747,,Fix syntax errors in nightly.conf,arpitgupta,arpitgupta,Major,Closed,Fixed,26/Sep/13 15:26,14/Oct/13 16:46,
Bug,,PIG-3172,12631470,,Partition filter push down does not happen when there is a non partition key map column filter,rohini,rohini,Major,Closed,Fixed,08/Feb/13 16:11,14/Oct/13 16:46,
Bug,Patch Available,PIG-3208,12633535,,[zebra] TFile should not set io.compression.codec.lzo.buffersize,ekoontz,ekoontz,Major,Closed,Fixed,22/Feb/13 02:30,14/Oct/13 16:46,
Bug,,PIG-2828,12599437,,Handle nulls in DataType.compare,aniket486,haitao.yao,Major,Closed,Fixed,19/Jul/12 10:03,14/Oct/13 16:46,
Bug,Patch Available,PIG-3249,12637100,,Pig startup script prints out a wrong version of hadoop when using fat jar,prkommireddi,prkommireddi,Major,Closed,Fixed,14/Mar/13 22:41,14/Oct/13 16:46,
Improvement,,PIG-3436,12664949,,Make pigmix run with Hadoop2,rohini,rohini,Major,Closed,Fixed,22/Aug/13 00:03,14/Oct/13 16:46,
Bug,,PIG-3110,12625569,,pig corrupts chararrays with trailing whitespace when converting them to long,prkommireddi,ihadanny,Major,Closed,Fixed,31/Dec/12 13:35,14/Oct/13 16:46,
New Feature,Patch Available,PIG-3211,12633541,,Allow default Load/Store funcs to be configurable,prkommireddi,prkommireddi,Major,Closed,Fixed,22/Feb/13 03:04,14/Oct/13 16:46,
Improvement,Patch Available,PIG-3218,12633802,,Add support for biginteger/bigdecimal type in Groovy UDFs,herberts,herberts,Major,Closed,Fixed,24/Feb/13 16:21,14/Oct/13 16:46,
Bug,,PIG-3424,12663860,,Package import list should consider class name as is first even if -Dudf.import.list is passed,rohini,rohini,Major,Closed,Fixed,15/Aug/13 14:56,14/Oct/13 16:46,
