Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,THRIFT-3555,12931534,,'configure' script does not honor --with-openssl=<path> for libcrypto for BN_init,nsuke,pbutler@sonusnet.com,Major,Closed,Fixed,15/Jan/16 18:32,19/Feb/16 02:17,
Improvement,,THRIFT-3556,12931697,,c_glib file descriptor transport,simonsouth,cjmay,Major,Closed,Fixed,16/Jan/16 18:14,19/Feb/16 02:17,
Bug,,THRIFT-3633,12939107,,"Travis ""C C++ - GCC"" build was using clang",nsuke,nsuke,Major,Closed,Fixed,14/Feb/16 13:00,19/Feb/16 02:17,
Bug,,THRIFT-3632,12939095,,c_glib testserialization fails with glib assertion,nsuke,nsuke,Major,Closed,Fixed,14/Feb/16 11:21,19/Feb/16 02:17,
Improvement,Patch Available,THRIFT-3469,12917617,,Docker: Debian support,roger,roger,Major,Closed,Fixed,02/Dec/15 16:02,19/Feb/16 02:17,
Bug,,THRIFT-3598,12936607,,TBufferedTransport doesn't instantiate client connection,phongphan,phongphan,Major,Closed,Fixed,04/Feb/16 04:54,19/Feb/16 02:17,
Improvement,Patch Available,THRIFT-3240,12844358,,Thrift Python client should support subjectAltName and wildcard certs in TSSLSocket,jfarrell,mkazia,Major,Closed,Duplicate,11/Jul/15 08:53,19/Feb/16 02:17,
Improvement,,THRIFT-3609,12938245,,Remove or replace TestPortFixture.h,jsirois,jsirois,Major,Closed,Fixed,10/Feb/16 17:29,19/Feb/16 02:17,
Bug,Patch Available,THRIFT-3428,12913439,,Go test fails when running make check,roger,roger,Major,Closed,Fixed,16/Nov/15 20:40,19/Feb/16 02:17,
Bug,,THRIFT-3056,12786389,,Add string/collection length limits for Python protocol readers,nsuke,erickt,Major,Closed,Duplicate,28/Mar/15 00:26,19/Feb/16 02:17,
Bug,,THRIFT-3527,12928001,,"-gen py:dynamic,utf8strings ignores utf8strings option",nsuke,nsuke,Major,Closed,Fixed,06/Jan/16 11:19,19/Feb/16 02:17,
Bug,Patch Available,THRIFT-3629,12939057,,"Parser sets exitcode on errors, but generator does not",jensg,jensg,Major,Closed,Fixed,13/Feb/16 22:23,19/Feb/16 02:17,
Improvement,Patch Available,THRIFT-3582,12934288,,Erlang libraries should have service metadata,icecreamcohen,icecreamcohen,Major,Closed,Fixed,26/Jan/16 23:56,19/Feb/16 02:17,
Bug,Patch Available,THRIFT-3549,12929791,,Exceptions are not properly stringified in Perl library,dmorel,dmorel,Major,Closed,Fixed,13/Jan/16 10:51,19/Feb/16 02:17,
Improvement,,THRIFT-1736,12612845,,Visual Studio top level project files within msvc,roger,roger,Major,Closed,Won't Fix,20/Oct/12 19:55,19/Feb/16 02:17,
Sub-task,,THRIFT-3531,12928384,12928383,Create cross lang feature test for string and container read length limit,nsuke,nsuke,Major,Closed,Fixed,07/Jan/16 18:06,19/Feb/16 02:17,
Sub-task,,THRIFT-3626,12939003,12938245,Fix lib/cpp/test/TSocketInterruptTest.cpp to use ephemeral ports.,jsirois,jsirois,Major,Closed,Fixed,13/Feb/16 04:01,19/Feb/16 02:17,
Story,,THRIFT-3452,12916700,,.travis.yml: Migrating from legacy to container-based infrastructure,roger,roger,Major,Closed,Fixed,28/Nov/15 00:59,19/Feb/16 02:17,
Improvement,,THRIFT-1385,12526302,,make install doesn't install java library in the setted folder,codesf,laurent2,Major,Closed,Fixed,08/Oct/11 05:24,19/Feb/16 02:17,
Bug,,THRIFT-3597,12936542,,`make check` hangs in go tests,jsirois,jsirois,Major,Closed,Fixed,03/Feb/16 23:58,19/Feb/16 02:17,
Bug,Patch Available,THRIFT-3534,12928884,,Link error when building with Qt5,haraldF,haraldF,Major,Closed,Fixed,09/Jan/16 17:57,19/Feb/16 02:17,
Sub-task,,THRIFT-3442,12915284,12778626,Run CMake tests on Appveyor,nsuke,nsuke,Major,Closed,Fixed,23/Nov/15 10:06,19/Feb/16 02:17,
Bug,,THRIFT-3538,12929017,,Remove UnboundMethodType in TProtocolDecorator,tbartelmess,tbartelmess,Major,Closed,Fixed,10/Jan/16 16:33,19/Feb/16 02:17,
Bug,,THRIFT-3615,12938461,,Fix Python SSL client resource leak on connection failure,nsuke,nsuke,Major,Closed,Fixed,11/Feb/16 09:23,19/Feb/16 02:17,
Bug,,THRIFT-3589,12935253,,Dart generator uses wrong name in constructor for uppercase arguments with defaults,markerickson-wk,markerickson-wk,Major,Closed,Fixed,29/Jan/16 20:56,19/Feb/16 02:17,
Improvement,,THRIFT-3127,12827277,,switch -recurse to --recurse and reserve -r,roger,in-chief,Major,Closed,Fixed,05/May/15 13:14,19/Feb/16 02:17,
