Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,OPENJPA-1212,12431833,,Data cache has problem with @Factory field which converts from array,,david minor,Major,Open,,30/Jul/09 18:27,30/Jul/09 18:27,
Bug,,OPENJPA-455,12383365,,Incorrect MySQL DDL Generation for integer types,pcl,mikedd,Major,Closed,Fixed,27/Nov/07 23:44,30/Jul/09 14:04,
Improvement,,OPENJPA-1207,12431741,,Analyze trigger points of OptimisticLockException ,ppoddar@apache.org,ppoddar@apache.org,Major,Open,,29/Jul/09 20:49,29/Jul/09 20:49,
Bug,Patch Available,OPENJPA-622,12397505,,"Informix -lock timieout, cursor not open problem for NonJTA datasource transaction RESOURCE_LOCAL in JEE",fancy,fancy,Major,Closed,Fixed,04/Jun/08 19:47,29/Jul/09 15:24,
Wish,,OPENJPA-1134,12427648,,OpenJPA Logo Contest,drwoods,drwoods,Major,Closed,Fixed,11/Jun/09 13:33,27/Jul/09 16:56,
Bug,,OPENJPA-982,12417076,,ERROR PERFORMING QUERIES ON ORACLE TABLES WITH CLOB COLUMN,,joe weinstein,Major,Open,,17/Mar/09 16:51,26/Jul/09 07:14,
Bug,,OPENJPA-608,12396673,,Select Union queries generated to fetch data from all subclasses fails if there is a CLOB field defined in a descending class on Oracle and Sybase,,sandeeps@bea.com,Major,Open,,22/May/08 22:23,26/Jul/09 07:14,
Bug,,OPENJPA-1166,12429845,,Query targetting a common attribute defined in a Table-Per-Class entity heirarchy referenced through a relationship fails,,fyrewyld,Major,Open,,08/Jul/09 19:22,21/Jul/09 14:36,
Bug,,OPENJPA-1186,12430952,,@DataStoreId(strategy=GenerationType.IDENTITY) does not work in DB2,,wisneskid,Major,Open,,20/Jul/09 19:22,20/Jul/09 19:22,
Bug,,OPENJPA-453,12383221,,Evicting embedded object nullifies statemanager,rpalache,christiaan,Major,Open,,26/Nov/07 13:52,14/Jul/09 14:41,
Improvement,,OPENJPA-101,12360251,,enhance JPQL Constructor Expressions implementation,,wanyna,Major,Open,,11/Jan/07 03:01,10/Jul/09 14:47,
Improvement,,OPENJPA-64,12352559,,Optimizing empty collection fetch. Better use of jdbc-container-meta in ContainerFieldMappling,,roytmana,Major,Open,,06/Oct/06 01:53,10/Jul/09 14:47,
Bug,,OPENJPA-1169,12429879,,OpenJPA 1.3.0's query parameter checking is too restricitive for native queries that used to work with OpenJPA 1.2.x,,maojianfeng,Major,Open,,08/Jul/09 23:34,09/Jul/09 01:47,
Improvement,,OPENJPA-1162,12429752,,"Add javadoc to clarify difference between evict, detach and detachCopy",,mikedd,Major,Open,,07/Jul/09 20:44,07/Jul/09 20:44,
Bug,,OPENJPA-1145,12428885,,Reserved keywords in the DBDictionary isn't being used for table names,,curtisr7,Major,Open,,25/Jun/09 19:12,25/Jun/09 19:14,
Sub-task,,OPENJPA-770,12408348,12408260,Use annotations instead of excluding tests in pom.xml,mcconne,mikedd,Major,Closed,Won't Fix,12/Nov/08 16:43,17/Jun/09 18:42,
