Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,NUTCH-1829,12736520,,Generator : unable to distinguish real errors,jnioche,mbouchar,Major,Resolved,Fixed,25/Aug/14 13:30,08/Dec/14 19:53,
Bug,Patch Available,NUTCH-1877,12748620,,Suffix URL filter to ignore query string by default,markus17,markus17,Major,Resolved,Fixed,16/Oct/14 15:35,05/Dec/14 20:50,
Improvement,,NUTCH-1892,12758080,,Update the FileDumper tool to fetch only those URLs with status db_fetched in nutch,,shekarprashant,Major,Open,,26/Nov/14 21:47,26/Nov/14 21:47,
Bug,,NUTCH-1890,12755759,,Major Typo in Documentation for Integrating Nutch and Solr,chrismattmann,ekowcharles,Major,Resolved,Fixed,17/Nov/14 09:16,17/Nov/14 23:09,
Sub-task,Patch Available,NUTCH-1880,12749124,12614195,URLUtil should not add additional slashes for file URLs,,snagel,Major,Resolved,Fixed,19/Oct/14 20:49,04/Nov/14 21:58,
Sub-task,Patch Available,NUTCH-1879,12749123,12614195,Regex URL normalizer should remove multiple slashes after file: protocol,,snagel,Major,Resolved,Fixed,19/Oct/14 20:41,04/Nov/14 21:58,
Improvement,,NUTCH-1843,12742978,,Upgrade to Gora 0.5,talat,lewismc,Major,Resolved,Fixed,20/Sep/14 20:34,01/Nov/14 16:45,
Bug,,NUTCH-1865,12744988,,Enable use of SNAPSHOT's with Nutch Ivy dependency management,lewismc,lewismc,Major,Resolved,Fixed,30/Sep/14 16:38,27/Oct/14 18:51,
Improvement,,NUTCH-1875,12747538,,Add 'version' field to Solr schema as required by new Solr servers,lewismc,lewismc,Major,Closed,Not A Problem,11/Oct/14 20:03,11/Oct/14 20:07,
Sub-task,,NUTCH-1164,12526741,12526733,Write JUnit tests for protocol-http,nimafl,lewismc,Major,Resolved,Fixed,11/Oct/11 20:24,09/Oct/14 19:51,
New Feature,Patch Available,NUTCH-1871,12746015,,Generic xsl parser plugin,,Albinscode,Major,Closed,Duplicate,05/Oct/14 19:38,05/Oct/14 20:09,
Bug,,NUTCH-1864,12744823,,Bug in indexchecker CLI parsing and invocation of index-solr plugin by default,,lewismc,Major,Resolved,Duplicate,30/Sep/14 00:01,02/Oct/14 21:54,
New Feature,,NUTCH-1857,12744114,,readb -dump -format csv should use comma,lewismc,lewismc,Major,Resolved,Fixed,25/Sep/14 20:00,01/Oct/14 21:50,
Bug,,NUTCH-1866,12745112,,ant eclipse target should not delete runtime,nimafl,lewismc,Major,Resolved,Fixed,30/Sep/14 23:16,01/Oct/14 19:28,
Task,,NUTCH-1859,12744505,,Make Nutch webapp port configurable,nimafl,lewismc,Major,Resolved,Fixed,27/Sep/14 19:30,30/Sep/14 00:42,
Bug,,NUTCH-1848,12743335,,Bug in DashboardPage.html instances counter,nimafl,lewismc,Major,Resolved,Fixed,22/Sep/14 21:00,29/Sep/14 04:48,
Improvement,Patch Available,NUTCH-1853,12743531,,Add commented out WebGraph executions to ./bin/crawl,lewismc,lewismc,Major,Resolved,Fixed,23/Sep/14 14:42,27/Sep/14 23:26,
Bug,,NUTCH-1481,12613599,,When using MySQL as storage unicode characters within URLS cause nutch to fail,,sumarlidason,Major,Resolved,Won't Fix,26/Oct/12 01:29,27/Sep/14 22:01,
Improvement,,NUTCH-1851,12743408,,Add/Update wiki pages for NutchServer and WebApp,lewismc,lewismc,Major,Resolved,Fixed,23/Sep/14 01:27,27/Sep/14 20:05,
Bug,,NUTCH-1852,12743485,,Runtime error on Hadoop 2.4.0 caused by hadoop-core,,dobromyslov,Major,Closed,Invalid,23/Sep/14 09:52,25/Sep/14 06:45,
Bug,,NUTCH-1844,12743004,,testresources/testcrawl not referenced anywhere in code,chrismattmann,chrismattmann,Major,Resolved,Fixed,21/Sep/14 05:53,25/Sep/14 06:26,
New Feature,,NUTCH-929,12478556,,Create a REST-based admin UI for Nutch,fjodor.vershinin,ab,Major,Resolved,Fixed,28/Oct/10 09:17,23/Sep/14 00:05,
Bug,,NUTCH-1845,12743069,,Nutch cannot save inlinks ,,pensz,Major,Closed,Fixed,22/Sep/14 02:08,22/Sep/14 05:37,
Bug,,NUTCH-1832,12738830,,Make Nutch work without an indexer,chrismattmann,chrismattmann,Major,Resolved,Fixed,03/Sep/14 15:50,17/Sep/14 18:43,
Bug,Patch Available,NUTCH-1468,12606771,,Redirects that are external links not adhering to db.ignore.external.links,,driki,Major,Closed,Fixed,09/Sep/12 11:35,05/Sep/14 05:58,
Bug,,NUTCH-1835,12739170,,Nutch's Solr schema doesn't work with Solr 4.9 because of the RealTimeGet handler,chrismattmann,chrismattmann,Major,Resolved,Fixed,04/Sep/14 17:00,05/Sep/14 05:58,
Bug,Patch Available,NUTCH-1828,12736517,,bin/crawl : incorrect handling of nutch errors,,mbouchar,Major,Resolved,Fixed,25/Aug/14 13:21,29/Aug/14 11:53,
Improvement,Patch Available,NUTCH-1745,12706192,,Upgrade to ElasticSearch 1.1.0,jnioche,jnioche,Major,Resolved,Fixed,02/Apr/14 15:14,07/Aug/14 10:01,
Bug,,NUTCH-1795,12722547,,Please create a DOAP file for your TLP,lewismc,sebb,Major,Closed,Fixed,19/Jun/14 17:43,02/Aug/14 21:36,
Bug,Patch Available,NUTCH-1708,12689737,,use same id when indexing and deleting redirects,,snagel,Major,Resolved,Fixed,20/Jan/14 00:12,29/Jul/14 17:34,
Bug,,NUTCH-1822,12728849,,Page outlinks  clearance is not appropriate,,riyaz,Major,Open,,22/Jul/14 12:57,23/Jul/14 04:59,
Bug,,NUTCH-1818,12727906,,Add deps-test-compile task for building plugins,jnioche,jnioche,Major,Resolved,Fixed,17/Jul/14 12:00,17/Jul/14 12:51,
Task,,NUTCH-1817,12727614,,Remove pom.xml from source,jnioche,jnioche,Major,Resolved,Fixed,16/Jul/14 08:46,16/Jul/14 10:51,
Bug,Patch Available,NUTCH-926,12478460,,Redirections from META tag don't get filtered,,wildnove,Major,Resolved,Fixed,27/Oct/10 14:45,15/Jul/14 11:51,
Improvement,Patch Available,NUTCH-1502,12620388,,Test for CrawlDatum state transitions,,snagel,Major,Resolved,Fixed,06/Dec/12 21:40,15/Jul/14 09:53,
